date,steps
2021-07-24,3517
2021-07-25,3309
2021-07-26,4535
2021-07-27,10665
2021-07-28,4355
2021-07-29,5586
2021-07-30,2253
2021-07-31,2989
2021-08-01,3520
2021-08-02,7348
2021-08-03,4627
2021-08-04,3045
2021-08-05,5202
2021-08-06,4654
2021-08-07,2902
2021-08-08,5468
2021-08-09,3393
2021-08-10,5510
2021-08-11,3832
2021-08-12,5068
2021-08-13,4167
2021-08-14,5470
2021-08-15,10378
2021-08-16,2285
2021-08-17,8243
2021-08-18,4178
2021-08-19,3577
2021-08-20,3187
2021-08-21,4235
2021-08-22,4610
2021-08-23,6438
2021-08-24,4086
2021-08-25,4037
2021-08-26,3023
2021-08-27,4637
2021-08-28,8595
2021-08-29,10917
2021-08-30,3889
2021-08-31,6477
2021-09-01,6356
2021-09-02,2979
2021-09-03,4473
2021-09-04,9327
2021-09-05,8059
2021-09-06,2568
2021-09-07,8456
2021-09-08,5438
2021-09-09,4793
2021-09-10,3884
2021-09-11,12277
2021-09-12,12006
2021-09-13,12743
2021-09-14,9942
2021-09-15,14759
2021-09-16,13306
2021-09-17,15480
2021-09-18,15925
2021-09-19,9562
2021-09-20,10742
2021-09-21,10462
2021-09-22,10617
2021-09-23,13726
2021-09-24,21104
2021-09-25,14396
2021-09-26,12141
2021-09-27,8473
2021-09-28,14609
2021-09-29,10435
2021-09-30,10643
2021-10-01,21190
2021-10-02,17616
2021-10-03,8106
2021-10-04,10000
2021-10-05,9376
2021-10-06,12201
2021-10-07,9718
2021-10-08,15238
2021-10-09,11475
2021-10-10,15029
2021-10-11,12582
2021-10-12,16070
2021-10-13,9787
2021-10-14,10941
2021-10-15,6633
2021-10-16,8070
2021-10-17,10372
2021-10-18,8423
2021-10-19,11021
2021-10-20,12933
2021-10-21,11249
2021-10-22,14100
2021-10-23,9821
2021-10-24,3665
2021-10-25,13499
2021-10-26,10546
2021-10-27,9398
2021-10-28,11688
2021-10-29,7409
2021-10-30,13279
2021-10-31,7046
2021-11-01,14652
2021-11-02,10746
2021-11-03,12883
2021-11-04,10379
2021-11-05,7105
2021-11-06,13029
2021-11-07,5328
2021-11-08,11525
2021-11-09,9713
2021-11-10,9364
2021-11-11,11540
2021-11-12,8297
2021-11-13,6808
2021-11-14,9735
2021-11-15,14688
2021-11-16,12910
2021-11-17,8298
2021-11-18,9873
2021-11-19,9619
2021-11-20,4003
2021-11-21,9659
2021-11-22,6641
2021-11-23,11178
2021-11-24,10080
2021-11-25,4824
2021-11-26,5217
2021-11-27,8686
2021-11-28,5292
2021-11-29,13820
2021-11-30,12753
2021-12-01,11384
2021-12-02,12280
2021-12-03,9195
2021-12-04,11628
2021-12-05,7634
2021-12-06,16626
2021-12-07,9458
2021-12-08,9237
2021-12-09,11166
2021-12-10,6136
2021-12-11,4564
2021-12-12,3065
2021-12-13,1209
2021-12-14,3258
2021-12-15,2356
2021-12-16,4281
2021-12-17,2070
2021-12-18,6683
2021-12-19,2521
2021-12-20,4901
2021-12-21,3768
2021-12-22,3800
2021-12-23,2401
2021-12-24,5100
2021-12-25,2722
2021-12-26,2846
2021-12-27,2739
2021-12-28,3149
2021-12-29,9922
2021-12-30,5735
2021-12-31,13891
2022-01-01,8789
2022-01-02,4082
2022-01-03,6600
2022-01-04,10972
2022-01-05,8442
2022-01-06,8256
2022-01-07,9437
2022-01-08,8925
2022-01-09,5205
2022-01-10,5582
2022-01-11,5788
2022-01-12,6175
2022-01-13,6330
2022-01-14,8315
2022-01-15,6344
2022-01-16,6323
2022-01-17,8231
2022-01-18,10673
2022-01-19,7036
2022-01-20,5858
2022-01-21,7021
2022-01-22,4850
2022-01-23,2659
2022-01-24,8724
2022-01-25,6422
2022-01-26,7245
2022-01-27,6394
2022-01-28,9766
2022-01-29,12387
2022-01-30,3050
2022-01-31,10095
2022-02-01,2107
2022-02-02,7188
2022-02-03,7260
2022-02-04,20257
2022-02-05,19775
2022-02-06,12049
2022-02-07,11221
2022-02-08,4325
2022-02-09,5759
2022-02-10,3531
2022-02-11,9309
2022-02-12,7355
2022-02-13,4037
2022-02-14,9025
2022-02-15,8382
2022-02-16,8430
2022-02-17,8636
2022-02-18,11526
2022-02-19,10653
2022-02-20,9021
2022-02-21,13101
2022-02-22,6126
2022-02-23,11162
2022-02-24,10706
2022-02-25,6754
2022-02-26,16431
2022-02-27,3335
2022-02-28,8448
2022-03-01,8670
2022-03-02,4049
2022-03-03,7988
2022-03-04,5652
2022-03-05,8964
2022-03-06,5550
2022-03-07,11825
2022-03-08,6002
2022-03-09,3585
2022-03-10,1692
2022-03-11,2654
2022-03-12,5037
2022-03-13,7809
2022-03-14,7412
2022-03-15,8937
2022-03-16,8739
2022-03-17,8606
2022-03-18,6080
2022-03-19,7113
2022-03-20,7615
2022-03-21,7819
2022-03-22,4208
2022-03-23,1402
2022-03-24,1821
2022-03-25,20308
2022-03-26,10855
2022-03-27,5463
2022-03-28,10928
2022-03-29,8429
2022-03-30,7032
2022-03-31,8938
2022-04-01,10692
2022-04-02,10545
2022-04-03,6105
2022-04-04,9987
2022-04-05,8242
2022-04-06,9140
2022-04-07,10091
2022-04-08,10214
2022-04-09,11251
2022-04-10,5065
2022-04-11,7483
2022-04-12,11862
2022-04-13,10510
2022-04-14,7477
2022-04-15,14176
2022-04-16,12705
2022-04-17,6817
2022-04-18,7906
2022-04-19,10264
2022-04-20,7795
2022-04-21,11563
2022-04-22,11236
2022-04-23,11557
2022-04-24,6283
2022-04-25,14179
2022-04-26,15152
2022-04-27,8530
2022-04-28,16718
2022-04-29,12143
2022-04-30,15329
2022-05-01,11262
2022-05-02,9480
2022-05-03,8370
2022-05-04,7679
2022-05-05,13643
2022-05-06,15188
2022-05-07,14328
2022-05-08,8050
2022-05-09,10269
2022-05-10,12583
2022-05-11,9030
2022-05-12,14180
2022-05-13,12411
2022-05-14,11359
2022-05-15,12044
2022-05-16,12185
2022-05-17,3557
2022-05-18,9693
2022-05-19,11373
2022-05-20,11284
2022-05-21,10641
2022-05-22,19661
2022-05-23,6277
2022-05-24,5661
2022-05-25,7290
2022-05-26,3699
2022-05-27,3564
2022-05-28,7721
2022-05-29,7230
2022-05-30,4637
2022-05-31,7308
2022-06-01,4528
2022-06-02,11818
2022-06-03,4929
2022-06-04,6325
2022-06-05,11177
2022-06-06,3288
2022-06-07,5370
2022-06-08,13838
2022-06-09,4692
2022-06-10,6334
2022-06-11,5148
2022-06-12,8757
2022-06-13,4954
2022-06-14,6393
2022-06-15,7372
2022-06-16,6564
2022-06-17,9489
2022-06-18,7489
2022-06-19,5808
2022-06-20,2356
2022-06-21,1304
2022-06-22,2886
2022-06-23,6204
2022-06-24,7716
2022-06-25,11342
2022-06-26,5148
2022-06-27,5446
